Date,Ticker,Open,High,Low,Close,Adj Close,Volume,MarketCap,PE_Ratio,EPS,DividendYield,Sector,Industry,52W_High,52W_Low,Beta,InstitutionOwnership,FloatShares
18-01-2022 00:00,TCS,1884.17,1915.19,1873.65,1887.87,1888.06,4131103,177831000000,59.97,70.21,4.23,Technology,IT Services,1990.63,1842.54,1.06,28.45,4897458
19-01-2022 00:00,TCS,1568.61,1600.52,1557.43,1577.9,1575.36,629954,66485682113,17.51,104.58,2.13,Technology,IT Services,1759.98,1501.1,0.68,42.82,203866604
20-01-2022 00:00,TCS,1090.18,1122.34,1088.12,1098.19,1096.77,4150807,63602939049,17.79,131.42,2.76,Technology,IT Services,1196.74,1021.52,1.43,59.41,11924242
21-01-2022 00:00,TCS,2180.3,2180.84,2128.36,2139.45,2144.35,3113337,102906000000,43.41,84.25,1.15,Technology,IT Services,2346.51,2011.89,0.91,33.1,305351267
22-01-2022 00:00,TCS,574.28,640.91,560.35,612.03,613.87,1511910,188197000000,66.78,143.12,3.72,Technology,IT Services,675.74,474.74,1.42,76.04,352445265
23-01-2022 00:00,TCS,1093.29,1115.09,1048.17,1069.85,1074.34,1511188,10508491572,34.9,172.39,2.66,Technology,IT Services,1158.03,909.98,1.45,88.05,51836472
24-01-2022 00:00,TCS,1345.63,1354.77,1288.88,1308.58,1305.01,4161367,71093964039,29.62,31.78,4.05,Technology,IT Services,1429.54,1268.31,0.61,35.03,155614661
25-01-2022 00:00,TCS,1650.64,1714.39,1629.38,1689.51,1688.33,126505,171458000000,46.4,90.86,3.9,Technology,IT Services,1802,1595.83,1.02,33.08,429305362
26-01-2022 00:00,TCS,2769.6,2823.62,2769.35,2815.17,2815.72,3806729,79814841010,65.83,82.2,1.08,Technology,IT Services,2899.87,2664.5,0.62,51.85,190541976
27-01-2022 00:00,TCS,778.89,841.28,772.36,815.1,810.87,1750375,40632222622,60.22,137.81,3.58,Technology,IT Services,996.37,698.34,1.42,72.34,466741699
28-01-2022 00:00,TCS,1848.4,1882.73,1828.55,1879.35,1874.39,1975530,85534042085,69.73,50.72,4,Technology,IT Services,1911.15,1762.35,1.07,39.71,462088803
29-01-2022 00:00,TCS,2114.21,2150.84,2099.69,2129.73,2131.43,312204,77724947797,11.35,128.41,1.73,Technology,IT Services,2227.57,2076.95,0.67,21.39,237673286
30-01-2022 00:00,TCS,257.93,279.24,257.77,263.02,264.44,628168,183168000000,16.77,175.62,0.86,Technology,IT Services,448.32,77.58,0.7,57.89,237403230
31-01-2022 00:00,TCS,2165.65,2168.55,2100.22,2124.35,2123.46,1073215,152625000000,46.57,84.21,0.01,Technology,IT Services,2191.24,1958.77,0.95,86.96,236671903
01-02-2022 00:00,TCS,679.78,687.04,647.45,670.63,670.53,667827,101518000000,59.23,182.29,2.25,Technology,IT Services,876.09,614.34,1.45,47.39,329062566
02-02-2022 00:00,TCS,321.18,321.55,292,308.45,307.6,2437208,197686000000,27.11,198.64,1.76,Technology,IT Services,518.95,269.64,1.22,49.41,221129625
03-02-2022 00:00,TCS,3326.21,3340.27,3300.2,3302.19,3297.43,1367633,93590228724,24.35,22.11,2.77,Technology,IT Services,3367.1,3104.97,1.38,87.82,384117782
04-02-2022 00:00,TCS,3383.15,3414.53,3360.15,3405.49,3403.84,3784815,12589328333,57.22,47.38,0.94,Technology,IT Services,3479.87,3220.73,0.93,68.62,365121497
05-02-2022 00:00,TCS,2848.55,2866.5,2830.63,2848.14,2844.91,4802104,53192590041,13.38,190.13,4.3,Technology,IT Services,2947.26,2741.31,0.64,70.34,330164719
06-02-2022 00:00,TCS,1135.69,1144.61,1070.33,1093.79,1089.77,2126182,87778025564,32.16,191.71,1.29,Technology,IT Services,1302.12,927,1.48,59.39,91640410
07-02-2022 00:00,TCS,432.09,441.09,381.56,404.11,408.68,4738246,32223622205,40.35,20.44,1.13,Technology,IT Services,564.32,227.86,0.62,88.22,170334799
08-02-2022 00:00,TCS,2426.39,2467.02,2402.3,2444.72,2445.71,148784,189565000000,43.62,3.98,2.4,Technology,IT Services,2599.45,2244.11,1.45,68.22,76727460
09-02-2022 00:00,TCS,1596.52,1597.96,1538.59,1554.13,1556.42,2310186,153603000000,53.72,33.06,2.49,Technology,IT Services,1751.89,1437.79,0.93,82.65,102283790
10-02-2022 00:00,TCS,514.93,577.14,510.72,550.05,548.2,2631196,54389152885,31.29,199.21,1.08,Technology,IT Services,609.56,419.04,0.61,68.96,269371382
11-02-2022 00:00,TCS,1783.6,1809.17,1762.98,1783.11,1782.04,3300090,118570000000,46.76,36.82,1.36,Technology,IT Services,1977.48,1750.88,1.22,71.46,340423747
12-02-2022 00:00,TCS,216.92,236.95,196.37,214.98,212.35,153997,144568000000,45.12,101.01,0.85,Technology,IT Services,381.02,10.32,1.48,40.33,256544255
13-02-2022 00:00,TCS,3191.69,3218.73,3169.42,3200.93,3196.9,2190053,188315000000,42.86,169.84,3.59,Technology,IT Services,3338.42,3044.79,1.47,41.24,177518392
14-02-2022 00:00,TCS,979.85,1039.09,974.75,1012.32,1009.11,4475717,176445000000,48.43,5.06,3.85,Technology,IT Services,1218.14,926.15,0.74,74.81,218932940
15-02-2022 00:00,TCS,2352.58,2358.14,2331.51,2337.36,2340.34,900981,103523000000,25.57,121.29,2.31,Technology,IT Services,2501.2,2146.79,0.76,40.77,134301179
16-02-2022 00:00,TCS,1159.82,1179.99,1133.11,1177.62,1179.4,3040504,155156000000,15.08,56.13,3.57,Technology,IT Services,1228.31,949.27,1.11,59.39,106687026
17-02-2022 00:00,TCS,1868.23,1881.99,1845.73,1874.8,1875.27,1562108,112867000000,17.16,172.6,3.68,Technology,IT Services,1973.64,1647.79,1.17,37.45,92129190
18-02-2022 00:00,TCS,1958.81,1982.65,1908.26,1935.51,1935.26,4843216,110988000000,23.47,57.41,0.69,Technology,IT Services,2086.52,1732.19,1.27,77.19,60016907
19-02-2022 00:00,TCS,728.51,767.41,705.75,766.37,770.59,670993,23833649709,40.01,137.66,4.83,Technology,IT Services,787.9,506.17,0.76,27.74,117243097
20-02-2022 00:00,TCS,3396.59,3443.81,3378.68,3426.33,3422.06,1350469,26101393945,60.43,135.17,4.11,Technology,IT Services,3635.19,3322.19,1.46,78.06,45885448
21-02-2022 00:00,TCS,2735.45,2781.16,2715.83,2751.3,2749.11,4177348,106377000000,52.08,45.08,1.02,Technology,IT Services,2815.59,2545.8,1.17,62.19,366786800
22-02-2022 00:00,TCS,3294.3,3355.03,3267.63,3329.36,3327.86,4994450,54503447451,57.34,7.93,0.93,Technology,IT Services,3497.55,3101.25,1.36,33.08,208876897
23-02-2022 00:00,TCS,3142.41,3194.78,3125.05,3179.14,3181.96,2273577,5186343590,31.06,82.44,0.63,Technology,IT Services,3300.96,3071.17,1.09,57.94,377409391
24-02-2022 00:00,TCS,2132.86,2155.61,2113.89,2153.7,2158.63,2693449,144845000000,34.28,58.55,0.69,Technology,IT Services,2170.48,2085.19,0.97,39.77,209622726
25-02-2022 00:00,TCS,3234.37,3293.01,3229.68,3268.07,3265.48,1688858,7464832741,33.62,161.99,3.74,Technology,IT Services,3478.71,3033.59,1.48,42.64,132467230
26-02-2022 00:00,TCS,400.87,438.59,386.65,420.62,424.36,1118543,119460000000,21.51,160.27,2.35,Technology,IT Services,610.44,320.41,1.12,44.61,47110556
27-02-2022 00:00,TCS,766.34,787.8,744.85,784.35,787.66,4406219,108300000000,13.67,91.95,3.91,Technology,IT Services,897.41,569.38,1.38,24.43,81536433
28-02-2022 00:00,TCS,253.77,268.45,245.64,265.63,262.88,485105,193794000000,45.45,121.7,3.73,Technology,IT Services,321.95,234.86,1.46,89.02,383251334
01-03-2022 00:00,TCS,1206.12,1258.68,1200.05,1231.39,1230.38,3525077,97358414730,69.35,121.25,3.02,Technology,IT Services,1291.79,1186.06,1.21,22.21,403278496
02-03-2022 00:00,TCS,1421.5,1441.58,1377.95,1387.36,1386.46,4613125,13656685839,20.01,165.6,3.43,Technology,IT Services,1520.62,1279.43,1.09,66.37,222903006
03-03-2022 00:00,TCS,1022.59,1085.56,1015.34,1060.68,1065.46,4327234,110786000000,12.8,85.58,0.09,Technology,IT Services,1144.09,959.98,0.6,45.99,197354146
04-03-2022 00:00,TCS,2917.71,2981.26,2911.26,2954.89,2951.7,1221889,168378000000,56.77,55.81,1.56,Technology,IT Services,3087.53,2770.19,0.64,65.22,447834782
05-03-2022 00:00,TCS,1312.96,1330.11,1253.13,1265.88,1268.87,849211,199373000000,25.16,53.74,3.19,Technology,IT Services,1523.73,1135.67,0.78,44.94,336727604
06-03-2022 00:00,TCS,1055.18,1103.28,1027.94,1087.76,1086.1,3358881,86638291564,59.78,107.7,0.05,Technology,IT Services,1222.52,1003.22,0.77,67.16,315942557
07-03-2022 00:00,TCS,1945.17,1958.08,1892.85,1908.06,1910.37,3731453,64739449757,52.24,90.38,0.16,Technology,IT Services,2137.17,1851.95,0.83,71.05,260153755
08-03-2022 00:00,TCS,579.14,588.65,557.01,562.65,561.85,4050476,181424000000,66.74,88.58,4.26,Technology,IT Services,722.32,473.28,0.87,68.34,146174141
09-03-2022 00:00,TCS,2827.47,2864.86,2825.16,2851.82,2852.6,2093384,39057183686,34.54,19.14,3.42,Technology,IT Services,2965.16,2779.9,0.92,27.98,312434218
10-03-2022 00:00,TCS,353.47,376.69,298.67,319.55,322.88,2285028,123470000000,49.72,144,1.33,Technology,IT Services,549.07,138.15,0.98,65.98,315104654
11-03-2022 00:00,TCS,3455.42,3505.28,3443.94,3487.22,3490.26,4903958,81737170412,37.89,43.53,3.44,Technology,IT Services,3604.84,3354.89,0.69,39.6,150777944
12-03-2022 00:00,TCS,2725.63,2785.62,2700.98,2758.84,2762.5,637691,9175390626,47.84,40.19,3.96,Technology,IT Services,2960.66,2673.23,0.64,22.02,16418680
13-03-2022 00:00,TCS,775.63,789.68,755.84,776.38,771.98,3587924,70110406387,36.98,83.14,1.53,Technology,IT Services,855.08,653.81,1.21,49.04,71712930
14-03-2022 00:00,TCS,118.78,136.99,45.53,69.42,71.34,872838,53780475978,21.32,46.33,0.18,Technology,IT Services,171.46,18.27,1.08,50.35,293029309
15-03-2022 00:00,TCS,2872.57,2891.51,2843.11,2851.27,2847.67,361420,137532000000,40.47,117.19,4.66,Technology,IT Services,3064.02,2808.61,1,52.7,270787575
16-03-2022 00:00,TCS,2503.31,2532.75,2482.54,2515,2514.16,577843,189809000000,41.72,74.92,1.73,Technology,IT Services,2654.36,2427.01,1.17,69.34,163101855
17-03-2022 00:00,TCS,2578.62,2647.82,2570.7,2626.74,2627.23,4629943,54341390288,58.64,90.33,0.53,Technology,IT Services,2826.75,2397.39,1.34,41.62,438915148
18-03-2022 00:00,TCS,2722.32,2742.62,2694.15,2735.5,2734.53,2360156,162482000000,54.13,107.9,2.46,Technology,IT Services,2930.81,2508.47,0.98,42.07,332136259
19-03-2022 00:00,TCS,351.75,367.12,308.64,327.73,327.93,4652538,12016603571,49.83,41.5,3.84,Technology,IT Services,387.31,141.65,1.18,24.24,456044406
20-03-2022 00:00,TCS,1318.78,1335.31,1309.04,1332.18,1337.15,4690905,108086000000,16.8,31.99,1.11,Technology,IT Services,1440.49,1235.57,1.46,68.08,184968597
21-03-2022 00:00,TCS,493.95,509.49,485.86,497.95,494.3,1925260,15039462678,53.24,176.2,1.35,Technology,IT Services,590.73,424.1,1.36,59.75,383339111
22-03-2022 00:00,TCS,3034.55,3077.16,3028.82,3062.53,3064.28,2165306,186873000000,40.02,87.31,1.21,Technology,IT Services,3206.07,2914.48,0.98,44.46,51605727
23-03-2022 00:00,TCS,2219.21,2238.78,2159.07,2179.91,2178.87,4875833,153504000000,63.65,83.01,4.96,Technology,IT Services,2399.56,2011.92,1.18,69.36,41671637
24-03-2022 00:00,TCS,1225.05,1279.67,1218.49,1251.15,1247.48,3947593,131932000000,65.19,8.09,0.99,Technology,IT Services,1342.98,1019.75,0.76,57.62,94248291
25-03-2022 00:00,TCS,316.1,338.25,298.24,320.23,316.82,4287694,164955000000,13.31,100.1,2.88,Technology,IT Services,454.04,263.24,1.1,52.85,73916113
26-03-2022 00:00,TCS,1157.34,1225.95,1149.4,1203.64,1208.13,1312980,129856000000,59.24,111.28,4.63,Technology,IT Services,1370.61,1130.03,1.48,55.79,254231174
27-03-2022 00:00,TCS,1205.62,1220.81,1169.95,1189.81,1193.61,3199834,193820000000,12.26,112.21,0.73,Technology,IT Services,1256.35,1028.02,1.07,64.54,140270858
28-03-2022 00:00,TCS,2580.66,2612.94,2556.21,2593.92,2597.99,1355973,143078000000,32.03,141.7,4.85,Technology,IT Services,2777.61,2388.09,1.43,66.2,288157630
29-03-2022 00:00,TCS,2267.7,2313.03,2244.36,2310.9,2315.82,3664507,185007000000,42.54,36.32,4.74,Technology,IT Services,2438.19,2073.55,0.97,40.23,443214908
30-03-2022 00:00,TCS,3116.52,3124.15,3053.94,3076.77,3073.85,4399489,103909000000,18.89,51.19,4.42,Technology,IT Services,3314.56,2915.03,1.5,29.85,486773466
31-03-2022 00:00,TCS,1705.53,1760.11,1699.9,1749.25,1747.8,3282132,24295818183,54.78,162.34,1.07,Technology,IT Services,1834.62,1508.64,1.12,30.96,139389379
01-04-2022 00:00,TCS,506.62,539.58,503.97,525.41,527.1,4349486,106107000000,10.5,189.49,3.17,Technology,IT Services,570.13,396.88,0.64,64.76,113091820
02-04-2022 00:00,TCS,2525.03,2526.4,2460.84,2481.81,2481.65,3540863,26247692785,20.12,28.05,3.8,Technology,IT Services,2632.64,2277.22,1.13,81.1,495821448
03-04-2022 00:00,TCS,2686.67,2690.87,2655.72,2666.77,2665.95,4997327,118906000000,44.85,100.03,4.93,Technology,IT Services,2717.17,2461.84,0.85,48.66,196193128
04-04-2022 00:00,TCS,2008.34,2037.46,1995.37,2029.16,2027.74,3138783,97016119045,52.86,43.62,0.9,Technology,IT Services,2231.67,1824.41,0.63,31.87,58930292
05-04-2022 00:00,TCS,2721.29,2750.44,2677.1,2678.03,2678.97,3471189,124893000000,65,12.95,3.83,Technology,IT Services,2767.79,2608.25,1.34,72.96,227073298
06-04-2022 00:00,TCS,1778.91,1797.07,1771.12,1787.13,1787.89,1972508,2999349230,52.33,65.78,1.69,Technology,IT Services,1950.24,1723.84,0.85,78.27,39149026
07-04-2022 00:00,TCS,1877.29,1891.75,1860.87,1861.88,1858.49,3017369,39773257839,50.31,29.59,0.88,Technology,IT Services,2001.52,1746.73,1.32,81.64,199878520
08-04-2022 00:00,TCS,1553.64,1571.61,1527.26,1565.73,1565.45,4902738,98774755951,33.66,142.28,2.11,Technology,IT Services,1651.65,1431.19,0.86,62.48,380686456
09-04-2022 00:00,TCS,186.43,204.75,133.7,141,141.53,4866589,190150000000,10.08,107.21,3.97,Technology,IT Services,227.26,-43.07,0.77,80.25,142895100
10-04-2022 00:00,TCS,466.83,512.4,450.11,503.98,504.68,244375,77338199031,17.21,29.62,2.32,Technology,IT Services,640.61,421.1,1.48,21.08,254918570
11-04-2022 00:00,TCS,206.86,260.42,205.69,254.21,251.31,4329491,85450033185,42.07,2.84,2.69,Technology,IT Services,381.61,146.72,0.93,27.51,153007391
12-04-2022 00:00,TCS,2263.8,2326.19,2243.79,2310.69,2313.11,757253,143225000000,50.51,161.82,4.98,Technology,IT Services,2389.56,2090.95,1.14,26.48,179837075
13-04-2022 00:00,TCS,1168.81,1193.95,1159.12,1193.78,1189.03,3283818,121155000000,35.05,36.06,2,Technology,IT Services,1376.89,1131.07,1.15,69.88,463501482
14-04-2022 00:00,TCS,1829.14,1829.37,1765.21,1792.15,1790.7,3179578,60486303870,53.84,121.64,3.08,Technology,IT Services,1897.15,1694.26,1.1,24.87,14844432
15-04-2022 00:00,TCS,3185.73,3218.13,3159.09,3211.56,3214.36,1618560,82752462718,41.31,68.05,1.83,Technology,IT Services,3313.58,3075.53,1.42,54.75,250257180
16-04-2022 00:00,TCS,947.59,948.69,890.29,900.05,900.69,1994420,44322259973,14.45,117.51,1.96,Technology,IT Services,1062,762,1.21,53.09,142562233
17-04-2022 00:00,TCS,1495.3,1498.54,1420.48,1447.51,1445.12,641797,193238000000,21.52,63.82,3.48,Technology,IT Services,1527.58,1380.43,0.96,41.75,114383700
18-04-2022 00:00,TCS,2668.87,2679.04,2621.35,2651.23,2653.18,4362957,26996241930,60.4,18.3,4.69,Technology,IT Services,2866.15,2447.84,1.38,80.93,241243565
19-04-2022 00:00,TCS,877.91,901.99,852.01,876.77,877.44,792289,74995520129,53.49,45.37,2.71,Technology,IT Services,983.15,756.98,0.76,31.93,169835615
20-04-2022 00:00,TCS,361.73,405.93,336.38,388.77,391.73,3637498,6141955472,63.69,38.42,3.84,Technology,IT Services,431.28,152.15,1.09,44.67,362915055
21-04-2022 00:00,TCS,1085.15,1118.86,1077.68,1103.48,1105.83,1896218,45134118895,17.05,86.18,0.45,Technology,IT Services,1202.45,978.78,1.46,74.19,475961623
22-04-2022 00:00,TCS,648.15,656.95,625.44,642.74,643.84,3784032,156314000000,69.41,132,1.06,Technology,IT Services,780.99,563.18,1.16,22.13,184279209
23-04-2022 00:00,TCS,3260.97,3288.92,3236.31,3238.33,3238.21,2484318,41033871225,22.56,53.5,2.51,Technology,IT Services,3396.51,3199.36,1.34,67.11,419731774
24-04-2022 00:00,TCS,2847.61,2909.23,2844.76,2897.32,2893.65,652226,16932617103,10.71,3.4,0.1,Technology,IT Services,3051.19,2834.05,1.19,77.15,290304510
25-04-2022 00:00,TCS,2253.57,2256.18,2216.22,2246.19,2243.8,360710,95416182789,69.85,104.27,1.26,Technology,IT Services,2276.72,2105.11,1.36,85.26,496334915
26-04-2022 00:00,TCS,3062.97,3081.48,3048.31,3058.11,3057.3,1380896,2983877712,26.86,121.55,2.59,Technology,IT Services,3145.54,3017.95,1.45,81.34,61745705
27-04-2022 00:00,TCS,2832.49,2835.91,2776.4,2798.85,2799.84,2140403,17868464731,50.08,192.61,0.07,Technology,IT Services,3001.56,2691.97,0.85,42.36,135956025
28-04-2022 00:00,TCS,734.34,774.18,710.14,763.82,763.96,3903074,161718000000,20.6,118.3,1.32,Technology,IT Services,799.36,588.18,0.75,61.05,364995635
29-04-2022 00:00,TCS,3134.7,3169.29,3108.96,3154.07,3151.95,4246226,154523000000,44.81,94.76,2.57,Technology,IT Services,3341.83,3046.58,1.04,25.41,498035356
30-04-2022 00:00,TCS,1933.76,1959.99,1875.91,1905.84,1900.9,1038193,183113000000,64.24,115.11,2.87,Technology,IT Services,1987.45,1832.62,1.23,38.05,60769099
01-05-2022 00:00,TCS,2845.3,2860.11,2796.3,2803.54,2803.5,1505419,171049000000,29.21,185.65,4.63,Technology,IT Services,3028.66,2639.1,0.8,26.6,274876765
02-05-2022 00:00,TCS,3146.71,3185.83,3145.5,3164.76,3162.62,3962012,136952000000,50.22,165.85,3.23,Technology,IT Services,3264.38,2955.61,0.6,42.06,133127144
03-05-2022 00:00,TCS,1181.21,1226.44,1168.87,1196.66,1199.01,1643103,11414238603,21.27,65.27,2.07,Technology,IT Services,1352.76,1139.79,0.91,81.26,415054632
04-05-2022 00:00,TCS,474.18,478.12,447.61,451.51,446.75,3607145,156787000000,47.49,48.21,4.65,Technology,IT Services,517.17,408.05,1.47,44.3,362108262
05-05-2022 00:00,TCS,874.98,928.31,874.31,920.07,920.92,1878244,169257000000,30.19,53.26,3.92,Technology,IT Services,950.88,681.91,1.23,59.33,386452345
06-05-2022 00:00,TCS,1552.17,1564.01,1506.47,1517.28,1521.69,4002216,160017000000,22.67,101.38,1,Technology,IT Services,1615.04,1489.29,0.96,50.34,26019639
07-05-2022 00:00,TCS,2881.25,2893.9,2850.97,2874.48,2871.22,4882337,102187000000,28.79,149.07,0.65,Technology,IT Services,2928.19,2655.22,0.77,52.12,407490987
08-05-2022 00:00,TCS,3026.48,3083.17,3009.49,3070.84,3070.56,3241537,47347465891,20.73,101.14,3.38,Technology,IT Services,3152.53,2998.61,0.92,87.87,205405787
09-05-2022 00:00,TCS,123.64,150.87,106.23,115.61,111.52,1280859,169221000000,64.11,14.49,2.8,Technology,IT Services,258.6,-69.77,0.75,40.73,307963507
10-05-2022 00:00,TCS,1836.54,1871.81,1816.91,1850.39,1851.65,4687749,145705000000,33.83,144.99,3.95,Technology,IT Services,1993.67,1748.52,0.7,63.91,97595543
11-05-2022 00:00,TCS,1519.2,1537.44,1502,1508.96,1509.47,3626844,196171000000,24.72,161.39,3.69,Technology,IT Services,1697.51,1313.67,1.42,49.4,127796077
12-05-2022 00:00,TCS,855.17,864.45,832.16,832.59,831.66,2080425,31982826953,36.9,58.61,3.13,Technology,IT Services,999.14,761.94,1.5,24.28,425109493
13-05-2022 00:00,TCS,507.54,580.65,484.61,555.94,556.15,4850411,45907252027,29.23,133.16,4.93,Technology,IT Services,706.31,350.29,0.75,54.25,59865903
14-05-2022 00:00,TCS,1247.89,1276.54,1220.11,1238.82,1242.79,1561742,43147831826,54.67,85.89,2.67,Technology,IT Services,1364.78,1194.9,0.65,76.93,343745340
15-05-2022 00:00,TCS,3305.89,3369.94,3283.02,3345.3,3342.26,3041616,158715000000,68.27,177.93,0.57,Technology,IT Services,3469.96,3226.98,0.9,26.91,195075775
16-05-2022 00:00,TCS,1198.89,1198.94,1170.72,1171.89,1167.12,2574370,38194551994,36.28,169.2,4.14,Technology,IT Services,1287.7,1013.72,1.02,24.87,76332786
17-05-2022 00:00,TCS,1863.89,1882.98,1810.09,1835.2,1838.82,2178937,14265306135,61.66,105.56,1.26,Technology,IT Services,2052.99,1699.64,0.78,30.75,206883478
18-05-2022 00:00,TCS,2490.26,2491.79,2424.78,2443.37,2444.14,3841372,199714000000,43.95,138.61,3.89,Technology,IT Services,2545.49,2238.47,0.87,73.51,266076738
19-05-2022 00:00,TCS,1336.34,1359.24,1319.44,1351.51,1355.42,627340,5938625078,19.43,176.79,4.79,Technology,IT Services,1370.33,1227.98,0.78,70.68,108251466
20-05-2022 00:00,TCS,3404.06,3405.85,3372.17,3390.91,3391.88,1455097,167214000000,51.44,99.65,3.48,Technology,IT Services,3539.6,3196.91,1.3,59.55,230043798
21-05-2022 00:00,TCS,3372.32,3426.87,3346.39,3408.76,3411.86,2155397,73708001469,40.81,63.34,2.98,Technology,IT Services,3475.34,3251.09,1.24,52.78,182443348
22-05-2022 00:00,TCS,956.06,976.66,935.77,953.38,952.68,1347486,168481000000,49.04,150.98,2.3,Technology,IT Services,1155.78,739.71,1.17,82.18,60764211
23-05-2022 00:00,TCS,1790.64,1840.89,1773.21,1837.46,1839.96,2527115,111369000000,63.38,44.79,1.82,Technology,IT Services,2014.11,1580.84,0.95,73.67,381599890
24-05-2022 00:00,TCS,1122.99,1134.51,1061.82,1091.54,1095.67,2048697,180425000000,36.43,78.32,1.77,Technology,IT Services,1159.09,989.28,1.42,76.84,445216243
25-05-2022 00:00,TCS,1068.46,1119.01,1045.76,1105.32,1106.04,1179037,185312000000,64.07,173.28,3.18,Technology,IT Services,1149.22,867.43,1.47,76.93,436470055
26-05-2022 00:00,TCS,225.42,264.15,212.15,253.08,249.89,4052910,2810538075,55.04,145.16,3.76,Technology,IT Services,368.23,41.1,0.76,64.99,356181913
27-05-2022 00:00,TCS,2172.52,2203.24,2151.3,2199.61,2197.3,4251951,16007023023,39.32,81.36,3.39,Technology,IT Services,2328.99,2101.27,0.8,52.06,373068546
28-05-2022 00:00,TCS,1809.11,1856.16,1797.43,1843.59,1840.58,3255200,50821387185,46.19,43.73,0.99,Technology,IT Services,1918.39,1668.81,1.07,80.53,3914057
29-05-2022 00:00,TCS,275.03,323.67,268.16,301.13,298.6,955695,134194000000,29.53,71.84,2.47,Technology,IT Services,469.86,244.35,0.68,84.82,447541868
30-05-2022 00:00,TCS,1047.4,1062.15,1029.49,1060.02,1058.08,212036,177766000000,69.02,57.54,3.96,Technology,IT Services,1185.18,860.51,0.99,21.67,334038536
31-05-2022 00:00,TCS,3188.1,3190.51,3123.37,3151.22,3151.77,4482978,92528448308,50.04,36.04,2.38,Technology,IT Services,3262.23,3080.21,1.12,23.61,185236837
01-06-2022 00:00,TCS,914.51,925.15,839.89,867.76,868.64,2484819,121788000000,12.63,148.92,2.68,Technology,IT Services,939.97,816.44,1.07,87.11,273911950
02-06-2022 00:00,TCS,592.64,662.97,582.38,634.72,633.98,3931854,38511470706,29.6,51.16,3.86,Technology,IT Services,815.5,496.34,0.9,39.4,488367407
03-06-2022 00:00,TCS,1764.14,1795.87,1748.31,1775.81,1776.96,989694,161188000000,47.4,91.38,3.31,Technology,IT Services,1846.67,1628.69,1.09,81.14,75000164
